ID Northing Easting Elevation Code
89 1145319.623 3602961.367 58.4283 DW
90 1145312.144 3602958.458 58.5007 DW
91 1145301.135 3602954.175 58.59 DW
92 1145287.72 3602947.543 58.555 DW
93 1145276.348 3602941.466 58.5081 DW
94 1145264.096 3602934.92 58.3614 DW
95 1145251.151 3602926.653 58.1825 DW
96 1145247.457 3602926.653 58.0235 DW
97 1145245.067 3602927.812 57.9349 DW
98 1145242.315 3602934.404 57.7203 DW
99 1145241.301 3602935.998 57.5578 DW
100 1145233.842 3602931.579 57.2855 DW
101 1145233.403 3602931.354 57.2538 DW
102 1145224.364 3602926.714 56.3777 DW
103 1145223.818 3602926.434 56.3565 DW
104 1145223.094 3602925.637 56.3256 DW
105 1145228.887 3602911.655 56.4246 DW
106 1145239.606 3602917.885 57.5622 DW
107 1145241.924 3602915.857 57.4771 DW
108 1145246.124 3602918.465 57.7896 DW
109 1145250.718 3602921.877 58.0907 DW
110 1145256.874 3602926.876 58.3895 DW
111 1145263.899 3602931.729 58.4374 DW
112 1145276.169 3602938.482 58.5706 DW
113 1145285.585 3602943.472 58.6474 DW
114 1145296.856 3602949.066 58.6945 DW
115 1145307.068 3602953.63 58.6058 DW
116 1145321.879 3602959.294 58.4671 DW
117 1145331.656 3602961.685 58.4015 DW
118 1145339.768 3602962.626 58.1843 DW
119 1145342.157 3602962.554 58.1816 DW
120 1145343.896 3602961.974 58.1921 DW
121 1145345.199 3602959.366 58.302 DW
122 1145346.537 3602956.556 58.392 DW
123 1145354.5 3602996.797 57.9119 FNC
124 1145344.85 3603001.185 57.9261 FNC
125 1145336.12 3603005.155 57.9251 FNC
126 1145326.935 3603009.332 57.9304 FNC
127 1145318.907 3603012.983 57.9342 FNC
128 1145311.019 3603016.57 57.9309 FNC
129 1145300.658 3603021.282 57.9264 FNC
130 1145291.463 3603025.464 58.0528 FNC
131 1145279.735 3603030.797 58.2264 FNC
132 1145269.329 3603035.53 58.3735 FNC
133 1145260.718 3603039.446 58.4928 FNC
134 1145249.969 3603044.334 58.6418 FNC
135 1145246.71 3603037.732 58.6218 FNC
136 1145243.078 3603030.375 58.3672 FNC
137 1145239.656 3603023.443 58.0633 FNC
138 1145236.171 3603016.385 57.5005 FNC
139 1145240.686 3603013.336 57.4569 FNC
140 1145247.046 3603009.039 57.4582 FNC
141 1145253.432 3603004.725 57.53 FNC
142 1145246.605 3602996.292 56.4546 FNC
143 1145241.214 3602989.634 56.0395 FNC
144 1145235.471 3602982.539 55.7211 FNC
145 1145229.703 3602975.415 55.568 FNC
146 1145224.338 3602968.787 55.4777 FNC
147 1145219.208 3602962.451 55.3924 FNC
148 1145213.869 3602955.856 55.3323 FNC
149 1145209.887 3602950.937 55.3264 FNC
150 1145205.197 3602945.144 55.3207 FNC
151 1145355.968 3603034.291 57.8104 TR
152 1145359.992 3603030.265 57.753 TR
153 1145359.992 3603025.392 57.818 TR
154 1145357.451 3603019.036 57.8987 TR
155 1145354.909 3603012.68 57.9157 TR
156 1145352.367 3603006.112 57.9206 TR
157 1145351.52 3603001.875 57.9197 TR
158 1145308.736 3603025.18 57.9238 TR
159 1145297.728 3602960.935 58.4449 TR
160 1145290.527 3602988.266 57.9242 TR
161 1145264.898 3602986.995 57.0195 TR
162 1145256.466 3603046.962 58.5967 TR
163 1145241.926 3603045.123 58.7301 TR
164 1145237.079 3603038.937 58.515 TR
165 1145233.068 3603031.749 58.2051 TR
166 1145231.397 3603025.062 57.9956 TR
167 1145229.559 3603012.356 56.6104 TR
168 1145232.066 3603005.836 56.3004 TR
169 1145226.885 3602996.14 55.762 TR
170 1145237.701 3602968.478 55.9694 TR
171 1145239.562 3602962.659 56.1709 TR
172 1145248.801 3602931.909 58.0572 TR
173 1145242.046 3602928.352 57.9179 TR
174 1145240.661 3602931.122 57.8188 TTR
175 1145334.164 3602945.754 58.5407 TL
176 1145333.662 3602949.476 58.465 TL
177 1145325.489 3602956.249 58.5237 TL
178 1145319.359 3602955.259 58.4823 TL
179 1145303.108 3602949.19 58.6108 TL
180 1145289.24 3602943.685 58.6608 TL
181 1145276.817 3602936.683 58.63 TL
182 1145264.771 3602930.146 58.4998 TL
183 1145258.341 3602925.387 58.4655 TL
184 1145251.818 3602921.095 58.1258 TL
185 1145247.123 3602916.887 57.7359 TL
186 1145242.277 3602914.461 57.4182 TL
187 1145238.083 3602915.674 57.3585 TL
188 1145229.696 3602910.728 56.4662 TL
189 1145227.889 3602908.387 56.3389 TL
190 1145227.889 3602902.135 56.2993 TL
191 1145224.627 3602904.094 56.2235 TL
192 1145214.935 3602907.453 55.9682 TL
193 1145207.18 3602908.862 55.7661 TL
194 1145202.424 3602905.399 55.6426 TL
195 1145197.07 3602900.096 55.4876 TL
196 1145191.369 3602892.639 55.4679 TL
197 1145184.542 3602887.689 55.4082 TL
198 1145174.654 3602882.503 55.3826 TL
199 1145162.57 3602879.418 55.3453 TL
200 1145155.507 3602875.411 55.5093 TL
201 1145144.678 3602867.868 56.0397 TL
202 1145135.497 3602860.561 56.7589 TL
203 1145122.008 3602851.58 56.713 TL
204 1145110.708 3602844.744 55.9996 TL
205 1145108.589 3602835.316 55.7865 TL
206 1145110.943 3602829.423 55.8972 TL
207 1145133.649 3603235.577 56.7087 TL
208 1145117.666 3603241.705 54.4536 TL
209 1145105.537 3603246.586 52.9868 TL
210 1145097.263 3603248.629 52.7315 TL
211 1145085.884 3603250.894 53.2265 TL
212 1145074.278 3603254.869 54.3904 TL
213 1145059.768 3603257.366 55.1394 TL
214 1145051.267 3603264.516 53.5936 TL
215 1145044.317 3603276.565 51.4766 TL
216 1145038.423 3603293.022 50.2757 TL
217 1145019.682 3603285.846 50.2736 TL
218 1145022.813 3603279.218 50.2772 TL
219 1145024.602 3603267.664 50.2908 TL
220 1145019.861 3603265.245 50.2877 TL
221 1145015.031 3603268.291 50.2778 TL
222 1145008.59 3603263.454 50.2727 TL
223 1145011.989 3603253.512 50.2912 TL
224 1145005.61 3603239.881 51.4627 TL
225 1145002.747 3603232.537 52.0524 TL
226 1144999.616 3603222.416 52.5895 TL
227 1145003.633 3603214.505 53.5517 TL
228 1145013.562 3603208.862 55.1249 TL
229 1145026.197 3603202.582 56.4223 TL
230 1145034.964 3603191.297 56.2656 TL
231 1145025.661 3603181.176 55.3765 TL
232 1145020.286 3603170.857 53.9349 TL
233 1145010.804 3603164.676 52.756 TL
234 1145001.022 3603157.77 52.0598 TL
235 1144993.508 3603153.65 51.6806 TL
236 1144985.01 3603148.724 51.2164 TL
237 1144979.661 3603124.983 49.9025 TL
238 1144968.452 3603112.843 48.768 TL
239 1144962.504 3603094.061 48.768 TL
240 1144973.027 3603089.021 48.768 TL
241 1144972.552 3603060.119 48.768 TL
242 1144965.46 3603039.046 48.768 TL
243 1144964.077 3603014.504 50.0498 TL
244 1144969.338 3602994.577 50.9325 TL
245 1144979.65 3602969.58 51.9595 TL
246 1144984.004 3602950.321 52.0733 TL
247 1144988.351 3602934.746 51.9771 TL
248 1144994.31 3602916.153 52.2351 TL
249 1144997.97 3602894.851 52.4385 TL
250 1145003.249 3602873.515 52.8869 TL
251 1145008.281 3602858.626 53.2871 TL
252 1145014.229 3602846.715 53.889 TL
253 1145014.924 3602832.48 54.7589 TL
254 1145017.211 3602814.384 56.3948 TL
255 1145028.192 3602801.787 56.744 TL
256 1145037.342 3602801.787 56.6122 TL
257 1145057.756 3602810.028 55.7646 TL
258 1145067.593 3602808.424 55.8952 TL
259 1145245.655 3603071.229 58.8629 ESHB
260 1145234.3 3603077.195 58.9784 ESHB
261 1145216.986 3603075.957 59.2328 ESHB
262 1145212.713 3603062.899 58.7573 ESHB
263 1145217.998 3603052.543 58.5695 ESHB
264 1145226.879 3603050.854 58.666 ESHB
265 1145229.128 3603045.788 58.5527 ESHB
266 1145233.962 3603043.762 58.6029 ESHB
267 1145238.684 3603047.815 58.7849 ESHB
268 1145244.193 3603050.179 58.7477 ESHB
269 1145246.892 3603055.807 58.7655 ESHB
270 1145246.329 3603065.376 58.8235 ESHB
271 1145246.331 3603094.91 58.7116 ESHB
272 1145242.059 3603106.73 58.7942 ESHB
273 1145236.325 3603113.934 58.9269 ESHB
274 1145229.691 3603117.086 59.0493 ESHB
275 1145220.472 3603112.246 59.2022 ESHB
276 1145215.863 3603104.591 59.2723 ESHB
277 1145214.289 3603096.261 59.3298 ESHB
278 1145219.798 3603089.169 59.2133 ESHB
279 1145230.816 3603086.017 58.9948 ESHB
280 1145238.573 3603088.719 58.8565 ESHB
281 1145242.508 3603087.03 58.7793 ESHB
282 1145306.717 3603008.108 57.9366 BLD
283 1145297.572 3603012.347 57.9287 BLD
284 1145290.222 3602996.488 57.9215 BLD
285 1145299.366 3602992.249 57.9327 BLD
286 1145269.199 3603032.027 58.3466 BLD
287 1145261.295 3603036.021 58.4593 BLD
288 1145260.718 3603034.878 58.456 BLD
289 1145253.124 3603038.715 58.5644 BLD
290 1145251.112 3603034.733 58.5528 BLD
291 1145258.706 3603030.896 58.4445 BLD
292 1145258.3 3603030.094 58.4422 BLD
293 1145266.204 3603026.101 58.3294 BLD
294 1145249.566 3603028.393 58.4272 BLD
295 1145244.153 3603031.129 58.4103 BLD
296 1145242.146 3603027.156 58.2269 BLD
297 1145247.559 3603024.421 58.2702 BLD
298 1145258.697 3603004.174 57.7786 BLD
299 1145261.617 3603009.953 58.0939 BLD
300 1145259.304 3603011.121 58.0871 BLD
301 1145256.384 3603005.343 57.7572 BLD
302 1145253.055 3602945.168 57.7035 BLD
303 1145249.541 3602958.667 56.8068 BLD
304 1145239.127 3602955.956 56.3255 BLD
305 1145242.642 3602942.457 57.2517 BLD
306 1145233.403 3602931.354 57.2538 BLD
307 1145228.565 3602940.779 56.3691 BLD
308 1145219.526 3602936.139 56.1023 BLD
309 1145224.364 3602926.714 56.3777 BLD
310 1145281.016 3602984.866 57.9009 SWL
311 1145262.865 3602982.023 56.8977 SWL
312 1145248.904 3602980.676 56.21 SWL
313 1145238.186 3602980.81 55.8203 SWL
314 1145226.608 3602980.536 55.4041 SWL
315 1145215.354 3602980.267 55.0006 SWL
316 1145204.186 3602980.127 54.7444 SWL
317 1145190.386 3602979.993 54.5317 SWL
318 1145178.267 3602979.58 54.3446 SWL
319 1145165.941 3602978.372 54.1525 SWL
320 1145154.235 3602976.489 53.9684 SWL
321 1145142.043 3602975.013 53.7778 SWL
322 1145130.612 3602973.399 53.5985 SWL
323 1145119.357 3602972.728 53.4285 SWL
324 1145105.29 3602972.192 53.2409 SWL
325 1145091.816 3602972.457 53.0922 SWL
326 1145077.213 3602974.201 52.927 SWL
327 1145066.546 3602976.216 52.8043 SWL
328 1145052.345 3602977.289 52.6454 SWL
329 1145040.421 3602978.094 52.5122 SWL
330 1145029.25 3602979.169 52.3885 SWL
331 1145018.398 3602981.047 52.2637 SWL
332 1145004.945 3602984.267 52.1057 SWL
333 1144986.858 3602984.938 51.9306 SWL
334 1145189.741 3602873.882 55.8304 SWL
335 1145177.732 3602883.901 55.3713 SWL
336 1145167.725 3602892.852 54.9722 SWL
337 1145157.451 3602902.071 54.6787 SWL
338 1145146.063 3602913.308 54.404 SWL
339 1145137.256 3602922.393 54.1905 SWL
340 1145131.386 3602932.012 53.9857 SWL
341 1145121.884 3602947.93 53.6568 SWL
342 1145106.078 3602831.926 55.7302 SWL
343 1145095.031 3602840.744 55.3419 SWL
344 1145082.492 3602853.15 54.8442 SWL
345 1145071.379 3602853.145 54.5519 SWL
346 1145054.809 3602854.64 54.1424 SWL
347 1145041.311 3602858.079 53.7889 SWL
348 1145026.383 3602858.527 53.4784 SWL
349 1145014.142 3602856.285 53.3144 SWL
350 1145006.448 3602867.819 53.0301 SWL
351 1144998.387 3602881.42 52.6914 SWL
352 1144991.52 3602893.975 52.3743 SWL
353 1145139.866 3602845.319 57.0012 TOB
354 1145122.712 3602869.795 56.5026 TOB
355 1145109.417 3602887.83 56.3941 TOB
356 1145094.407 3602903.718 56.3894 TOB
357 1145075.537 3602919.606 55.2465 TOB
358 1145058.382 3602932.488 54.1714 TOB
359 1145040.799 3602945.37 53.2475 TOB
360 1145021.929 3602956.964 52.8328 TOB
361 1145005.203 3602967.699 52.4525 TOB
362 1144991.479 3602978.864 52.1071 TOB
363 1145199.563 3603206.982 59.2631 TOB
364 1145196.795 3603181.645 59.436 TOB
365 1145194.445 3603153.2 59.436 TOB
366 1145185.282 3603127.834 59.436 TOB
367 1145166.416 3603106.246 59.436 TOB
368 1145145.934 3603089.516 58.8719 TOB
369 1145125.991 3603072.785 58.1877 TOB
370 1145106.047 3603059.293 56.1544 TOB
371 1145082.191 3603050.083 55.433 TOB
372 1145053.624 3603037.67 54.4882 TOB
373 1145022.9 3603026.337 53.5901 TOB
374 1145004.034 3603012.305 52.7684 TOB
375 1144989.481 3602996.114 52.1003 TOB
376 1145141.97 3603227.831 57.9665 TOB
377 1145138.609 3603205.534 58.4571 TOB
378 1145136.928 3603174.822 57.9227 TOB
379 1145123.482 3603159.257 57.9303 TOB
380 1145107.096 3603147.056 57.9362 TOB
381 1145101.213 3603128.125 57.8873 TOB
382 1145105.415 3603101.2 57.9281 TOB
383 1145108.777 3603084.793 57.9535 TOB
384 1145056.512 3603287.954 50.2892 BOB
385 1145035.084 3603277.858 50.2904 BOB
386 1145024.159 3603265.657 50.3915 BOB
387 1145013.235 3603254.298 50.3054 BOB
388 1145001.47 3603242.519 50.2905 BOB
389 1144990.125 3603231.16 50.2915 BOB
390 1144978.361 3603221.484 50.4417 BOB
391 1144968.277 3603212.229 50.4655 BOB
392 1144959.453 3603199.608 50.0626 BOB
393 1144954.411 3603185.724 49.7488 BOB
394 1144951.89 3603168.055 49.2969 BOB
395 1144951.47 3603147.862 48.865 BOB
396 1144959.873 3603134.82 49.0396 BOB
397 1144971.218 3603116.309 48.8285 BOB
398 1144981.302 3603103.688 48.8802 BOB
399 1144988.025 3603090.646 48.9443 BOB
400 1144987.184 3603067.929 48.8429 BOB
401 1144977.874 3603048.506 48.8056 BOB
402 1144966.949 3603036.306 48.768 BOB
403 1144950.983 3603017.375 48.8168 BOB
404 1145436.479 3603114.624 56.6813 GS
405 1145428.929 3603103.577 56.892 GS
406 1145418.186 3603089.331 57.0756 GS
407 1145403.668 3603079.155 57.202 GS
408 1145394.376 3603070.433 57.2902 GS
409 1145382.471 3603059.386 57.3091 GS
410 1145369.695 3603046.303 57.561 GS
411 1145418.75 3603121.601 56.6657 GS
412 1145416.427 3603109.971 56.8008 GS
413 1145406.265 3603099.214 56.9486 GS
414 1145392.327 3603087.004 57.0758 GS
415 1145378.97 3603080.317 57.2432 GS
416 1145370.55 3603069.851 57.3947 GS
417 1145358.064 3603055.896 57.6041 GS
418 1145346.946 3603044.26 57.783 GS
419 1145344.913 3603028.851 57.9141 GS
420 1145342.01 3603017.222 57.9168 GS
421 1145328.363 3603022.746 57.9269 GS
422 1145330.685 3603033.793 57.9164 GS
423 1145333.589 3603047.748 57.7881 GS
424 1145342.881 3603064.902 57.5542 GS
425 1145355.657 3603077.403 57.368 GS
426 1145365.239 3603090.195 57.1896 GS
427 1145377.144 3603098.045 57.0607 GS
428 1145389.92 3603108.511 56.9011 GS
429 1145401.244 3603116.651 56.7625 GS
430 1145405.019 3603127.699 56.6268 GS
431 1145390.21 3603133.223 56.7315 GS
432 1145384.403 3603123.338 56.7974 GS
433 1145374.24 3603114.326 56.9287 GS
434 1145362.335 3603106.185 57.0722 GS
435 1145351.592 3603096.882 57.2143 GS
436 1145344.623 3603086.125 57.3401 GS
437 1145332.137 3603075.659 57.5042 GS
438 1145322.846 3603056.47 57.7249 GS
439 1145318.49 3603039.899 57.9126 GS
440 1145316.167 3603030.305 57.9199 GS
441 1145301.649 3603031.468 57.9583 GS
442 1145306.005 3603047.167 57.9002 GS
443 1145310.07 3603061.994 57.7598 GS
444 1145318.2 3603081.182 57.5732 GS
445 1145329.234 3603098.335 57.4275 GS
446 1145339.396 3603108.802 57.3127 GS
447 1145349.849 3603120.14 57.2059 GS
448 1145360.593 3603128.571 57.1116 GS
449 1145372.207 3603139.328 57.0028 GS
450 1145350.08 3603148.939 57.4561 GS
451 1145340.208 3603137.891 57.4193 GS
452 1145331.788 3603125.389 57.4931 GS
453 1145323.367 3603116.958 57.5542 GS
454 1145316.398 3603104.457 57.5836 GS
455 1145306.526 3603090.211 57.6885 GS
456 1145300.428 3603074.512 57.7669 GS
457 1145294.833 3603064.013 57.8614 GS
458 1145289.897 3603049.477 58.1993 GS
459 1145276.54 3603047.151 58.3525 GS
460 1145268.12 3603052.675 58.4862 GS
461 1145259.409 3603060.815 58.6372 GS
462 1145271.314 3603066.63 58.2748 GS
463 1145280.896 3603066.63 58.0582 GS
464 1145283.509 3603081.457 57.9811 GS
465 1145290.768 3603095.412 57.8815 GS
466 1145300.641 3603111.402 57.8342 GS
467 1145307.319 3603123.322 57.815 GS
468 1145310.513 3603135.242 57.8034 GS
469 1145319.559 3603147.784 57.8757 GS
470 1145325.947 3603157.378 57.9 GS
471 1145310.848 3603163.483 57.9934 GS
472 1145302.137 3603153.017 58.1971 GS
473 1145297.201 3603143.423 58.0545 GS
474 1145294.878 3603130.921 58.0371 GS
475 1145289.361 3603119.874 58.0711 GS
476 1145281.522 3603106.209 58.1016 GS
477 1145274.843 3603092.254 58.1607 GS
478 1145267.003 3603084.695 58.303 GS
479 1145260.325 3603079.171 58.4224 GS
480 1145246.678 3603083.242 58.6943 GS
481 1145253.647 3603091.382 58.5671 GS
482 1145260.325 3603100.976 58.4512 GS
483 1145267.003 3603109.698 58.3675 GS
484 1145271.359 3603119.874 58.3107 GS
485 1145276.295 3603131.503 58.3699 GS
486 1145279.779 3603146.621 58.3829 GS
487 1145285.877 3603157.959 58.4846 GS
488 1145289.361 3603171.914 58.2899 GS
489 1145276.805 3603178.613 58.2804 GS
490 1145268.094 3603162.623 58.7913 GS
491 1145266.933 3603150.703 58.6287 GS
492 1145259.674 3603141.399 58.7125 GS
493 1145254.737 3603128.607 58.6026 GS
494 1145252.414 3603118.722 58.6534 GS
495 1145248.059 3603109.128 58.6919 GS
496 1145237.316 3603123.665 58.9183 GS
497 1145239.638 3603139.655 58.8892 GS
498 1145246.026 3603153.028 59.0214 GS
499 1145254.447 3603164.076 58.9777 GS
500 1145258.222 3603178.903 58.6673 GS
501 1145251.543 3603187.916 58.6889 GS
502 1145230.347 3603100.988 59.0138 GS
503 1145232.379 3603063.193 58.973 GS
504 1145243.029 3603177.27 59.0477 GS
505 1145237.317 3603163.382 59.2319 GS
506 1145229.362 3603151.741 59.1364 GS
507 1145225.691 3603134.586 59.1047 GS
508 1145218.144 3603125.599 59.2591 GS
509 1145205.701 3603109.057 59.436 GS
510 1145196.93 3603121.515 59.436 GS
511 1145205.293 3603137.036 59.436 GS
512 1145212.636 3603158.685 59.4077 GS
513 1145218.756 3603174.411 59.436 GS
514 1145225.283 3603184.827 59.436 GS
515 1145228.954 3603196.876 59.0865 GS
516 1145209.916 3603193 59.436 GS
517 1145207.469 3603174.619 59.436 GS
518 1145185.49 3603214.916 59.1733 GS
519 1145180.678 3603194.496 59.436 GS
520 1145177.928 3603171.094 59.436 GS
521 1145171.97 3603149.528 59.436 GS
522 1145163.721 3603133.468 59.4228 GS
523 1145149.743 3603119.702 59.152 GS
524 1145135.959 3603113.241 58.7934 GS
525 1145126.565 3603098.328 58.5058 GS
526 1145119.919 3603120.354 58.3552 GS
527 1145134.585 3603142.838 58.5446 GS
528 1145147.416 3603154.998 58.5986 GS
529 1145154.749 3603175.188 58.943 GS
530 1145161.434 3603200.689 59.3205 GS
531 1145164.413 3603222.714 58.8173 GS
532 1145124.704 3603215.378 57.3134 GS
533 1145121.954 3603183.258 56.8715 GS
534 1145111.414 3603168.345 55.6649 GS
535 1145090.562 3603158.021 54.2918 GS
536 1145085.453 3603135.507 56.5355 GS
537 1145087.057 3603107.975 56.7296 GS
538 1145093.473 3603080.214 56.142 GS
539 1145077.891 3603077.69 55.091 GS
540 1145071.934 3603106.599 55.2811 GS
541 1145071.246 3603138.031 53.5748 GS
542 1145078.35 3603158.221 53.2772 GS
543 1145115.014 3603228.687 54.9744 GS
544 1145058.505 3603147.521 52.6181 GS
545 1145047.879 3603122.572 52.4726 GS
546 1145055.94 3603078.911 53.4662 GS
547 1145042.016 3603059.832 53.5475 GS
548 1145026.259 3603054.329 52.6856 GS
549 1145031.755 3603087.716 51.4527 GS
550 1145031.023 3603116.702 51.429 GS
551 1145033.954 3603141.651 51.8759 GS
552 1145016.731 3603141.284 51.4518 GS
553 1145013.067 3603117.435 50.7564 GS
554 1145008.303 3603088.083 49.9293 GS
555 1145001.341 3603059.098 49.9891 GS
556 1144991.01 3603032.639 51.0883 GS
557 1144978.185 3603020.898 50.9404 GS
558 1145061.704 3603167.479 55.3571 GS
559 1145085.113 3603180.191 55.9795 GS
560 1145098.206 3603181.382 56.7458 GS
561 1145104.95 3603203.629 56.7942 GS
562 1145095.861 3603233.856 55.2193 GS
563 1145085.942 3603215.582 55.4624 GS
564 1145072.056 3603191.35 55.0175 GS
565 1145045.077 3603173.076 54.2768 GS
566 1145050.631 3603199.295 53.7862 GS
567 1145062.137 3603221.143 53.9453 GS
568 1145070.866 3603243.787 53.5926 GS
569 1145052.615 3603248.554 52.5183 GS
570 1145041.109 3603225.91 52.6075 GS
571 1145021.669 3603225.91 51.6683 GS
572 1145033.571 3603247.759 51.7212 GS
573 1145036.745 3603262.458 51.1277 GS
574 1145098.638 3603257.691 54.063 GS
575 1145082.372 3603268.814 52.6138 GS
576 1145071.263 3603279.539 50.9116 GS
577 1145062.126 3603290.571 50.3314 GS
578 1145052.336 3603299.981 50.2792 GS
579 1145028.842 3603289.787 50.273 GS
580 1145012.477 3603188.954 52.196 GS
581 1144999.709 3603175.058 51.2281 GS
582 1145000.819 3603198.959 51.4848 GS
583 1144990.827 3603216.468 50.9431 GS
584 1144983.61 3603198.959 50.3226 GS
585 1144979.724 3603181.728 49.9292 GS
586 1144975.005 3603156.159 49.4161 GS
587 1144961.865 3603155.601 49.2674 GS
588 1144963.808 3603188.395 49.7901 GS
589 1144971.858 3603204.793 50.156 GS
590 1145199.952 3603092.264 59.436 GS
591 1145182.727 3603100.148 59.436 GS
592 1145162.549 3603089.553 59.0715 GS
593 1145161.81 3603075.51 58.4859 GS
594 1145182.235 3603072.06 58.8615 GS
595 1145203.397 3603052.596 58.1773 GS
596 1145215.382 3603034.948 57.7615 GS
597 1145217.35 3603019.187 56.3511 GS
598 1145214.595 3603000.275 55.4272 GS
599 1145204.364 3602999.487 54.9902 GS
600 1145193.739 3603021.945 55.7717 GS
601 1145185.868 3603043.222 56.9636 GS
602 1145175.243 3603057.406 57.7326 GS
603 1145160.29 3603059.771 57.6325 GS
604 1145148.484 3603054.254 57.0407 GS
605 1145141.401 3603038.888 55.7878 GS
606 1145164.619 3603031.402 55.7452 GS
607 1145182.327 3603006.973 54.791 GS
608 1145165.012 3603001.063 54.5045 GS
609 1145149.271 3602999.487 54.3283 GS
610 1145131.563 3602999.093 54.0888 GS
611 1145149.665 3603019.581 54.7771 GS
612 1145130.258 3603064.53 57.9443 GS
613 1145118.846 3603047.588 55.9698 GS
614 1145111.369 3603028.675 55.033 GS
615 1145103.499 3603000.7 53.8654 GS
616 1145095.235 3602993.608 53.5027 GS
617 1145075.559 3602993.214 53.1927 GS
618 1145083.429 3603014.885 54.0839 GS
619 1145091.3 3603035.373 55.1515 GS
620 1145064.541 3603030.645 54.4283 GS
621 1145059.425 3603005.822 53.1658 GS
622 1145046.045 3602997.154 52.8465 GS
623 1145037.782 3603016.461 53.5864 GS
624 1145254.997 3603020.28 58.2831 GS
625 1145273.984 3603026.576 58.2539 GS
